Variable Name,Type,Description,Source,Keep?,Reasoning,% NA
address,object,Address,Energy Performance of Buildings Data: England and Wales,Yes,,
building-reference-number,object,Unique identifier for the property.,Energy Performance of Buildings Data: England and Wales,Yes,,
built-form,category,"The building type of the Property e.g. Detached, Semi-Detached, Terrace etc. Together with the Property Type, the Build Form produces a structured description of the property",Energy Performance of Buildings Data: England and Wales,Yes,,
co2-emiss-curr-per-floor-area,float64,CO��� emissions per square metre floor area per year in kg/m��,Energy Performance of Buildings Data: England and Wales,No,Derived from other variables,
co2-emissions-current,float64,CO��� emissions per year in tonnes/year.,Energy Performance of Buildings Data: England and Wales,Yes,,
co2-emissions-potential,float64,Estimated value in Tonnes per Year of the total CO��� emissions produced by the Property in 12 month period.,Energy Performance of Buildings Data: England and Wales,No,Theoretical energy efficiency based on target variable,
constituency,object,Office for National Statistics (ONS) code. Parliamentary constituency in which the building is located.,Energy Performance of Buildings Data: England and Wales,Yes,,
constituency-label,object,The name of the parliamentary constituency in which the building is located. This field is for additional information only and should not be relied upon: please refer to the Constituency ONS Code.,Energy Performance of Buildings Data: England and Wales,No,Derived from constituency,
construction-age-band,category,Age band when building part constructed. England & Wales only. One of: before 1900; 1900-1929; 1930-1949; 1950-1966; 1967-1975; 1976-1982; 1983-1990; 1991-1995; 1996-2002; 2003-2006; 2007-2011; 2012 onwards.,Energy Performance of Buildings Data: England and Wales,Yes,,
county,category,County in which the building is located (where applicable),Energy Performance of Buildings Data: England and Wales,Yes,,
current-energy-efficiency,int64,"Based on cost of energy, i.e. energy required for space heating, water heating and lighting [in kWh/year] multiplied by fuel costs. (��/m��/year where cost is derived from kWh).",Energy Performance of Buildings Data: England and Wales,Yes,,
current-energy-rating,category,Current energy rating converted into a linear 'A to G' rating (where A is the most energy efficient and G is the least energy efficient),Energy Performance of Buildings Data: England and Wales,Yes,,
energy-consumption-current,int64,Current estimated total energy consumption for the property in a 12 month period (kWh/m2). Displayed on EPC as the current primary energy use per square metre of floor area.,Energy Performance of Buildings Data: England and Wales,No,Derived from other variables,
energy-consumption-potential,int64,Estimated potential total energy consumption for the Property in a 12 month period. Value is Kilowatt Hours per Square Metre (kWh/m��),Energy Performance of Buildings Data: England and Wales,No,Derived from other variables,
